atmosphere|n. 大气；气氛；氛围
hydrosphere|n. 水圈
lithosphere|n. 岩石圈
oxygen|n. 氧；氧气
oxide|n. 氧化物
carbon dioxide|phrase. 二氧化碳
hydrogen|n. 氢
core|n. 核；核心；重点；v. 去（果）核
crust|n. 外壳；硬壳；面包皮；地壳
mantle|n. 披风；斗篷； 覆盖物；地幔；v. 覆盖；遮盖
longitude|n. 经度
latitude|n. 纬度；行动或言论的程度
horizon|n. 地平线；（思想等的）范围；眼界
altitude|n. 海拔；高度
disaster|n. 灾害；灾难
mishap|n. 不幸之事；灾祸；恶运
catastrophic|adj. 灾难性的
calamity|n. 大灾祸；灾难
endanger|v. 使遭危险或伤害；危害；危及
jeopardise|v. 危及；使受危险
destructive|adj. 破坏的；毁灭性的
El Niño|n. 厄尔尼诺现象
greenhouse|n. 温室；玻璃暖房
phenomenon|n. 现象；杰出的人（pl. phenomena）
pebble|n. 鹅卵石；小圆石
magnet|n. 磁体；磁铁
ore|n. 矿石
mineral|n. 矿物；矿物质
marble|n. 大理石；弹珠；理智；adj. 大理石的
quartz|n. 石英
granite|n. 花岗岩
gust|n. 一阵狂风；突然的一阵；v. （风）猛刮
breeze|n. 微风；和风
monsoon|n. 季风；雨季
gale|n. 大风；一阵（喧闹）
hurricane|n. 飓风
tornado|n. 龙卷风；旋风
typhoon|n. 台风
volcano|n. 火山
erupt|v. 爆发；喷发
magma|n. 岩浆
thermodynamic|adj. 热力学的
smog|n. 烟雾
fume|n. 烟雾；烟气；愤怒；烦恼；v. 用烟熏；冒烟；大为生气
mist|n. 薄雾；朦胧不清
tsunami|n. 海啸
drought|n. 旱灾；干旱
flooding|n. 洪水泛滥；v. 淹没；泛滥；“flood”的现在分词
torrent|n. 急流；激流；湍流；一连串
earthquake|n. 地震
seismic|adj. 地震的
avalanche|n. 雪崩；纷至沓来
terrain|n. 地形；地势；地带
landscape|n. 景色；风景画
continent|n. 洲；大陆
cave|n. 洞穴
cliff|n. 悬崖；峭壁
glacier|n. 冰川；冰河
swamp|n. 沼泽；湿地；v. 淹没
delta|n. 三角洲；希腊语第四个字母（Δ、δ）
plain|n. 平原；adj. 简单明了的；朴素的
plateau|n. 高原；平稳期
oasis|n. （沙漠中的）绿洲；舒适的地方；乐土；乐事
globe|n. 球体；地球
hemisphere|n. 半球体；半个球
equator|n. 赤道
arctic|adj. 北极的；极寒的
Antarctic|adj. 南极的；n. 南极地区
pole|n. 柱；杆；地极
polar|adj. 极地的；两极的；对立的
axis|n. 轴；轴线
deteriorate|v. 恶化；变坏；退化
aggravate|v. 加剧；使恶化；激怒
degrade|v. 降级；降格；退化；降低…身份；使丢脸
upgrade|v. 提升；提高；改进；n. 向上的斜坡；增加；改进
erode|v. 侵蚀；腐蚀；逐渐丧失；削弱
Mediterranean|n. 地中海；adj. 地中海的
Atlantic|adj. 大西洋的；n. 大西洋
pacific|adj. 求和的；和平的；和解的
ocean|n. 海洋；大海
marine|adj. 海的；与海有关的；n.  水兵；海军陆战队士兵；舰队；海运业
navigation|n. 导航；航行；航海
gulf|n. 海湾；鸿沟；隔阂
beach|n. 海滩；沙滩
coast|n. 海岸；海滨
shore|n. 岸；滨
tide|n. 潮汐；潮流
current|n. （水、气、电）流；趋势；adj. 当前的；流通的
brook|n. 小河；溪；v. 忍受；容忍
stream|n. 流；溪；v. 流；流动
source|n. 来源；出处；源泉；源头；提供资料者；v. 寻找货源
shallow|adj. 浅的；浅薄的
superficial|adj. 表面的；肤浅的；浅薄的
flat|adj. 平坦的；扁平的；平淡无味的；（说话）断然的；（轮胎）瘪了的；n. 公寓；平坦部分；adv. 直接地
smooth|adj. 平坦的；平滑的；v. 使平坦；使平滑
rough|adj. 粗糙的；粗暴的；粗略的；艰苦的；adv. 粗野地；艰苦地
sandy|adj. 含沙的；沙质的；多沙的
stony|adj. 多石的；石头砌的；残酷的；冷酷的；无情的
vertical|adj. 竖的；垂直的
steep|adj. 陡峭的；急剧升降的；v. 浸；泡
parallel|adj. 平行的；相似的；相同的；v. 平行；类似；n. 类似的事物；相似之处
narrow|adj. 狭窄的；窄小的；v. 使窄小
Oceania|n. 大洋洲
mainland|n. 大陆；本土
peninsula|n. 半岛
climate|n. 气候；（社会）风气；一般（社会）趋势
weather|n. 天气；v. 使受风吹雨打；风干；经受住
meteorology|n. 气象学
mild|adj. 温和的；轻微的
heating|n. 加热；采暖；供暖设备；v. 加热；“heat”的现在分词
moderate|adj. 中等的；适度的；温和的；稳健的；v. （使）缓和；节制；n. 温和派人士
warm|adj. 温暖的；v. （使）变暖
thermal|adj. 热的；保热的；温热的
tropics|n. 热带地区；n. 回归线；热带；“tropic”的复数
arid|adj. 干旱的；贫瘠的；枯燥无趣的
moist|adj. 潮湿的；湿润的
damp|adj. 潮湿的；n. 潮湿；v. 使潮湿
humid|adj. 潮湿的；湿润的
snowy|adj. 下雪的；多雪的
frost|n. 霜；霜冻；严寒；v. 结霜
hail|n. 冰雹；v. 下冰雹；呼喊；欢呼；把…誉为
thaw|v. 使融解；解冻；变缓和；n. 融雪
chill|n. 寒冷；寒意；v. 变冷；使冰冷；adj. 寒冷的
freeze|v. （使）结冰；（使）冻结；n. 严寒期；冻结
frigid|adj. 寒冷的；冷淡的；性冷淡的（女子）
tremble|v. 发抖；打颤；战栗；焦虑；n. 震颤；发抖；战栗；焦虑
shiver|v. 哆嗦；颤抖；n. 哆嗦；颤抖
thunder|n. 雷；雷声；v. 打雷；雷鸣；怒吼
lightning|n. 闪电
stormy|adj. 暴风雨的；感情激烈的；情绪激昂的
downpour|n. 倾盆大雨；暴雨
rainfall|n. 降雨量；下雨
sprinkle|v. 洒；撒；下小雨；n. 洒；撒；小雨；少量
rainbow|n. 彩虹
shower|n. 淋浴；阵雨；一阵
Celsius|adj. 摄氏的；n. 摄氏度
temperature|n. 温度；气温；体温
forecast|n. 预测；预报；v. 预测；预报
peak|n. 高峰；顶峰；帽檐；v. 达到高峰；达到¸高值；adj. ¸高的；高峰期的
mount|v. 逐渐增加；骑上；登上；装上；安放；n. 山；峰
mountain|n. 山；山脉；一大堆；大量
range|n. （变化）范围；一系列；山脉；v. 包括（各种不同的人或物）；（在某范围内）变化
ridge|n. 脊；屋脊；山脊
slope|n. 斜坡；坡度；v. 倾斜；有坡度
valley|n. 山谷；溪谷；流域
hillside|n. 山坡；山腰
overlook|v. 忽略；俯视
southern|adj. 南部的
southeast|n. 东南；adj. 位于东南的；向东南的；adv. 在东南；向东南
southwest|n. 西南；adv. 在西南；向西南；adj. 位于西南的；向西南的
northeast|n. 东北；adv. 向东北；adj. 东北的
northwest|n. 西北；adj. 西北的；adv. 向西北
eastern|adj. 东方的；东部的
oriental|adj. 东方的（尤指中国和日本）
inevitable|adj. 不可避免的；必定的
irreversible|adj. 不可逆转的；不可挽回的
irregularly|adv. 不规则地；无规律地
inappropriate|adj. 不适当的；不合宜的
abnormal|adj. 不正常的
sediment|n. 沉积物；沉淀物
silt|n. 淤泥； 淤积；v. 使淤塞
