considerable|adj. 重要的；相当大的；可观的
great|adj. 伟大的；大的；极好的；adv. 很好地
large|adj. 大的
much|adv. 非常地；adj. 多；许多；pron. 许多
substantial|adj. 大量的；重大的；实质性的；坚固的
react|v. 反应
respond|v. 回答；回应；n. 回答；回应
detect|v. 察觉；查出；测出
undetected|adj. 未被发现的；未检测到的
detectable|adj. 可发觉的；可检测的；可察觉的
signal|n. 信号；标志；v. 用信号通知
alien|n. 外星人；外国人；外侨；adj. 外国的；陌生的；相异的
civilisation|n. 文明；文化
bicker|v. 斗嘴；闪烁；n. 口角
brawl|n. 争吵；打架；v. 争吵；打架
contention|n. 争论；论点；争辩
contentious|adj. 好争吵的；有争议的
controversial|adj. 有争议的
controversy|n. 争论；论战
controvert|v. 反驳；辩驳
counter|n. 柜台；对立面；v. 反驳；抵消；adv. 相反地
debatable|adj. 有争议的；有疑问的；未定的
deny|v. 否认；拒绝
disagreement|n. 分歧；争执；不一致；意见不一
disprove|v. 反驳；证明…有误
dispute|n. 纠纷；争端；v. 对（某事）有异议；争执
dissentious|adj. 好争论的；争吵的
eloquence|n. 雄辩；口才
eloquent|adj. 雄辩的；有口才的；有说服力的
gainsay|v. 否认；反驳
quarrel|v. 争吵；吵架；吵嘴；n. 争吵；口角；拌嘴
argue|v. 争论；争辩；说服；指出；表明
rebut|v. 反驳；辩驳；举反证
refute|v. 驳斥；反驳；批驳
rejoinder|n. 回答；反驳；答辩
retort|v. 反驳；回嘴；n. 反驳；顶嘴
squabble|n. 争吵；v. 争吵
tiff|n. 口角；争吵
wrangle|v. 争论；争执；吵架；n. 争吵；口角
dweller|n. 居民；居住者
evolution|n. 进化；演变；发展
extract|n. 提取物；摘录；精华；节录；v. 拔出；提取；摘录
remove|v. 搬迁；去掉；移开；消除
cull|v. 拣选；采集；挑出（老弱动物）杀死
abstract|adj. 抽象的；非具体的；深奥的；v. 提取；抽取；作…的摘要；n. 摘要；概要；抽象派艺术作品
habitable|adj. 适合居住的；可居住的
humidity|n. 湿度；湿气
inhospitable|adj. 冷淡的；不好客的；不适于居住的；荒凉的
inorganic|adj. 无机的；非自然生长的
lander|n. 登陆者；着陆器
manned space flight|phrase. 载人航天飞行
microbial|adj. 微生物的；由细菌引起的
orbiter|n. 轨道飞行器；航天飞行器
organic|adj. 有机的；器官的
planetary|adj. 行星的
primitive microbe|phrase. 原始微生物
reside in|phrase. 居住于；存在于
solar|adj. 太阳的；太阳能的
space probe|phrase. 航天探测器
spacecraft|n. 航天器；宇宙飞船
ultraviolet radiation|phrase. 紫外线辐射
ultraviolet|adj. 紫外的；紫外线的；n. 紫外线辐射；紫外光
underground water|phrase. 地下水
explore|v. 探索；勘探
ferret|n. 白鼬；雪貂；v. 用雪貂打猎；搜寻
grope|v. 摸索；搜索；搜寻
risk|n. 风险；v. 冒...的危险
seek|v. 寻求；寻找
venture|v. 冒险；投机；n. 冒险事业；商业冒险；投机
world war|phrase. 世界大战
interrupt|v. 打断；打扰；打岔
interruption|n. 中断；打岔的事
raw|adj. 生的；未加工处理过的
natural|adj. 自然的；天然的
stifle|v. （使）窒息；抑制；扼杀
silk|n. 丝绸
industry|n. 工业；产业；行业；勤奋
aggressiveness|n. 进攻性；侵略性；积极进取
aggressively|adv. 侵略地；挑衅地；有闯劲地
air war|phrase. 空战
assault|n. 攻击；袭击；侵犯他人身体（罪）；v. 袭击；突袭
battle field|phrase. 战场
besiege|v. 围困；围攻
blockade|n. 阻塞；封锁；v. 封锁
bombing|n. 轰炸；爆炸；投弹；v. 投弹于；轰炸；“bomb”的现在分词
campaign|n. 战役；运动；（政治、商业或社会性）活动；v. 参加战役；从事活动
classified|adj. 分类的；机密的；v. 分类；“classify”的过去式和过去分词
cold war|phrase. 冷战
collision|n. 碰撞；冲突
collide|v. 碰撞；相撞；冲突
combat|n. 战斗；v. 战斗；防止；抑制
combative|adj. 好斗的
confidential|adj. 机密的；秘密的；视为心腹的
conquer|v. 征服；克服
conqueror|n. 征服者；占领者
defeat|v. 击败；战胜；使受挫；n. 失败；战胜
defense|n. 辩护；防御；国防；防守
diplomacy|n. 外交；外交手腕；交际手段
diplomatic|adj. 外交的；有交际手腕儿的
disarm|v. 解除武装；缴械；裁减军备
disarmament|n. 裁减军备；解除武装；缴械
encircle|v. 包围；围绕
encroach|v. 侵入；侵占；侵犯；侵蚀
enlist|v. 参军；入伍；谋求（某人的帮助）
envelop|v. 包封；遮盖；包围
exterminate|v. 消灭；灭绝；根除
insurrection|n. 起义；叛乱
intrude|v. 闯入；打扰；强使
invade|v. 侵犯；侵略
invasion|n. 侵犯；侵略
invader|n. 侵略者
martial|adj. 战争的；军事的
onslaught|n. 猛攻；冲击；突击；大量的倾泻
outbreak|n. 爆发；发作
rebellion|n. 叛乱；反叛；造反
rebel|v. 反抗；造反；n. 叛逆者；造反者
rebellious|adj. 反叛的；叛逆的
repulse|v. 击退；回绝；憎恶；n. 拒斥；击退；严拒
repel|v. 排斥；相斥；击退；驱逐
revolt|v. 叛乱；反叛；（使）厌恶；n. 叛乱；厌恶；反感
riot|n. 骚乱；暴乱
tactic|n. 战术；策略
trespass|v. 非法侵入；侵扰；冒犯；n. 非法进入；冒犯
truce|n. 停战（协定）；休战（协定）
warfare|n. 战争；斗争
wreck|v. 破坏；毁坏；n. 遇难船只；失事；残骸
wrecking|n. 破坏（建筑物等）的行为；v. 破坏；“wreck”的现在分词
airfield|n. 飞机场
armament|n. 军备；武器；备战
cannon|n. 大炮；火炮；v. 猛撞；碰撞
fortress|n. 堡垒；要塞；防御阵地
radar|n. 雷达
weapon|n. 武器
armada|n. 舰队；西班牙无敌舰队
bellicose|adj. 好战的；好斗的
fleet|n. 舰队；船队；机群；adj. 快速的；v. 掠过；疾飞
flotilla|n. 小舰队
militant|adj. 激进的；好战的；n. 激进；好战
military|adj. 军事的；军用的；n. 军队；武装力量
morale|n. 士气；精神力量
mutiny|n. 反叛；暴动；v. 反叛；暴动
navy|n. 海军；藏蓝色的
troop|n. 军队（复）；部队（复）；连；队；群；v. 群集；结队；成群前行
migration|n. 迁移；迁徙；转移
migrate|v. 迁移；移居；迁徙
issue|n. 问题；发行（物）；重要议题；流出；v. 发行；发表；流出；在…上挑起争论
biologist|n. 生物学家
biology|n. 生物学
biological|adj.  生物学的；生物的
microbiology|n. 微生物学
define|v. 下定义；定范围
definition|n. 定义；清晰度
in part|phrase. 在某种程度上；部分地
sort|n. 种类；类别；v. 把…分类；拣选；理清；解决
bat|n. 蝙蝠；球拍；球棒；v. 击（球）
beast|n. 兽；凶残的人
beaver|n. 海狸；海狸毛皮；v. 勤奋工作
buffalo|n. 水牛；野牛
camel|n. 骆驼
chimpanzee|n. 黑猩猩
donkey|n. 驴
fauna|n. 动物群；动物区系
genus|n. （动植物的）属；类
