excuse|n. 饶恕；借口；致歉；v. 宽恕；原谅；辩解
me|pron. 我（宾语）
yes|adv. 是；n. 是
is|v. 是
this|adj. 这；pron. 这个；adv. 这个；这样；这么
your|pron. 你的；你们的
handbag|n. 手提包
pardon|v. 原谅；宽恕；请再说一遍；n. 原谅；宽恕
it|pron. 它
thank you|phrase. 谢谢你
very much|phrase. 很；非常
pen|n. 钢笔；笔；围栏
pencil|n. 铅笔
book|n. 书；账簿；v. 预订
watch|v. 观看；观察；小心；n. 手表；监视；注意
coat|n. 大衣；外衣；v. 给…穿上外衣；覆盖
dress|n. 连衣裙；衣服；v. （给…）穿衣服
skirt|n. 裙子；下摆；边缘；v. 位于…的边缘；绕着…走；避开
shirt|n. 衬衫
car|n. 小汽车
house|n. 房子；房屋
umbrella|n. 伞；雨伞
please|int. 请；v. 使欢喜；取悦
here|adv. 这里
my|adj. 我的
ticket|n. 票；车票
number|n. 数字；号码
five|num. 五
sorry|adj. 对不起的；遗憾的；抱歉的；int. 对不起；抱歉
sir|n.先生； 阁下
cloakroom|n. 衣帽间；厕所
suit|n. 套装；西装；诉讼；v. 适合；相配
school|n. 学校；v. 教育
teacher|n. 教师
son|n. 儿子
daughter|n. 女儿
Mr.|n. 先生
good|adj. 好的；优秀的
morning|n. 早晨；上午
Miss|n. 小姐
new|adj. 新的
student|n. 学生
French|adj. 法国的；法国人的；法语的；n. 法语；法国人
German|adj. 德国的；德国人的；德语的；n. 德国人；德语
nice|adj. 令人愉快的；美好的
meet|v. 遇见；见面；满足
Japanese|adj. 日本的；日本人的；日语的；n. 日语；日本人
Korean|n. 朝鲜人；韩国人；朝鲜话；韩国语；adj. 朝鲜（或韩国）的；朝鲜（或韩国）人的；朝鲜（或韩）语的
Chinese|n. 中国人；汉语；adj. 中国的
too|adv. 也；过于
make|v. 做；制作；使得
Swedish|adj. 瑞典的；瑞典人的；瑞典语的；n. 瑞典语；瑞典人
English|n. 英语；英文；adj. 英国的；英国人的；英语的
American|n. 美国人；美洲人；adj. 美国的；美洲的
Italian|n. 意大利语；意大利人；adj. 意大利的；意大利人的；意大利语的
Volvo|n. 沃尔沃（富豪）汽车
Peugeot|n. 法国标致（法国汽车公司）
Mercedes|n. 梅塞德斯（奔驰）；默西迪丝（女子名）
Toyota|n. 丰田汽车
Daewoo|n. 大宇（韩国大宇汽车公司）
Mini|n. 迷你汽车
Ford|n. 福特汽车
Fiat|n. 菲亚特汽车
I|pron. 我（主语）；n. 碘（元素iodine的符号）
am|v. 是；动词be的第一人称单数现在式；abbr. 上午；“ante meridiem”的缩写
are|v. 是
name|n. 姓名；名称；v. 命名；提名；说出…的名字
what|pron. 什么
nationality|n. 国籍；民族
job|n. 工作
keyboard|n. 键盘
operator|n. 操作员；接线员
engineer|n. 工程师；机械师；v. 设计（工程）；策划
policeman|n. （男）警察
policewoman|n. 女警察
taxi driver|n. 出租车司机
air hostess|phrase. 空中小姐
postman|n. 邮递员；邮差
nurse|n. 护士；保姆；v. 护理；照料；喂奶
mechanic|n. 技工；机械师；机修工
hairdresser|n. 理发师；美发师
housewife|n. 家庭主妇
milkman|n. 送牛奶的人
hello|int. 喂；哈喽；n. “喂”的招呼声或问候声
hi|int. 嗨；你好
how|adv. 如何；怎样；多么
today|n. 今天；当今；adv. 在今天；当今
well|adv. 好；对；满意地；adj. 健康的；n. 泉；井；油井；int. （用于表示惊讶，疑虑，接受等）好
fine|adj. 很好的；晴朗的；健康的；adv. 很好；n. 罚款；v. 罚款
thanks|int. 谢谢；n. 感谢；“thank”的复数；v. 谢谢；“thank”的第三人称单数
goodbye|int. 再见；n. 说再见
see|v. 看；领悟
fat|adj. 肥的；n. 脂肪
woman|n. 女人；妇女
thin|adj. 瘦的；薄的
tall|adj. 高的
short|adj. 短的；矮的
dirty|adj. 肮脏的；v. 使变脏
clean|v. 打扫；使干净；adj. 洁净的；干净的
hot|adj. 热的
cold|n. 寒冷；感冒；adj. 寒冷的；冰冷的
old|adj. 老的；旧的；年老的
young|adj. 年轻的；年幼的
busy|adj. 忙碌的；忙于
lazy|adj. 懒惰的；懒散的
whose|pron. 谁的
blue|adj. 蓝色的；忧郁的；n. 蓝色
perhaps|adv. 或许；可能
white|adj. 白色的；n. 白色
catch|v. 捕捉；接住；抓住；赶上；得病；理解；n. 捕捉；搭扣；钩；抛接球游戏
father|n. 父亲；爸爸
mother|n. 母亲
blouse|n. 宽松的女短衫；女衬衫
sister|n. 姐妹
tie|n. 领带；关系；约束；平局；淘汰赛；v. 绑；系；拴；约束；与...成平局
brother|n. 兄弟
his|pron. 他的（he的所有格）
her|pron. 她的（she的所有格）
colour|n. 颜色；v. 着色
green|adj. 绿色的；未熟的；无经验的；n. 绿色；绿色物品
come|v. 来；到来
upstairs|adv. 在楼上；往楼上；adj. 楼上的；上层的；n. 楼上
smart|adj. 聪明的；敏捷的；时髦的；衣冠楚楚的；v. 剧痛；刺痛；感到难过
hat|n. 帽子
same|adj. 相同的
lovely|adj. 可爱的；美丽的
case|n. 事例；情况；案件；外壳；容器（箱，盒）
carpet|n. 地毯
dog|n. 狗；v. 尾随
customs|n. 关税；海关；n. 习俗；习惯；“custom”的复数
officer|n. 军官；官员
girl|n. 女孩
Danish|adj. 丹麦的；丹麦人的；丹麦语的；n. 丹麦语
friend|n. 朋友
Norwegian|adj. 挪威（人，语）的；n. 挪威人；挪威语
passport|n. 护照；通行证
brown|adj. 褐色的；棕色的；n. 褐色；棕色
tourist|n. 旅游者；观光者
Russian|n. 俄罗斯人；俄语；adj. 俄国的；俄国人的；俄语的
Dutch|adj. 荷兰的；荷兰人的；荷兰语的；n. 荷兰人；荷兰语
these|pron. 这些；“this”的复数；adj. 这些的
red|adj. 红的；n. 红色
grey|adj. 灰色的；暗淡的；n. 灰色；暗淡
yellow|adj. 黄色的；n. 黄色
black|adj. 黑色的；n. 黑色
orange|adj. 橙色的；n. 橙色；橙子
employee|n. 雇员；受雇者
hard-working|adj. 勤勉的；努力工作的
sales rep|phrase. 推销员
man|n. 男人；人；v. 操作；工作
office|n. 办公室
assistant|n. 助理；助手；adj. 助理的；辅助的
matter|n. 事情；物质；问题；麻烦；v. 要紧
children|n. 儿童；小孩；“child”的复数
tired|adj. 疲倦的；厌烦的；v. 使疲倦；使厌烦；“tire”的过去式和过去分词
boy|n. 男孩
thirsty|adj. 口渴的；渴望的
Mum|n. 妈妈
sit down|phrase. 坐下
right|adj. 右边的；正确的；n. 权利；右边；adv. 正确地；直接地；向右；v. 扶直；纠正
ice cream|n. 冰淇淋
big|adj. 大的
small|adj. 小的
open|v. 打开；开放；adj. 开放的；营业的；n. 公开；户外
shut|v. 关；闭；adj. 关闭的；停止营业的
light|n. 光；灯；光线；adj. 轻的；浅的；明亮的；少量的；v. 点燃；照亮
heavy|adj. 重的；沉重的
long|adj. 长的；长时间的；adv. 长久地；始终；n. 长时间；长期；v. 渴望；盼望
shoe|n. 鞋
grandfather|n. 祖父；爷爷
grandmother|n. 祖母；外祖母
give|v. 给予；发出
one|num. 一
which|pron. 哪个；adj. 哪个的
empty|adj. 空的；v. 倒空；变空
full|adj. 满的；充满的；adv. 完全地；n. 完全；完整
large|adj. 大的
little|adj. 少的；小的
sharp|adj. 锋利的；灵敏的；尖刻的；骤变的
blunt|adj. 不锋利的；耿直的；v. 使变钝
box|n. 箱子；盒子；一拳；v. 拳击；装箱
glass|n. 玻璃；玻璃杯
cup|n. 杯子；茶杯
bottle|n. 瓶子；v. 用瓶装
tin|n. 锡；罐头
knife|n. 刀
fork|n. 叉子；分岔；分支；v. 分岔；用叉子叉
spoon|n. 勺子；汤匙
on|prep. 在……上
shelf|n. 架子；搁板
desk|n. 桌子；书桌
table|n. 桌子；台子；表格；v. 把…列入议事日程；搁置
plate|n. 盘子；碟子
cupboard|n. 碗橱；衣橱；橱柜
cigarette|n. 香烟；纸烟
television|n. 电视机；电视节目；电视行业
floor|n. 地板；地面；楼层
dressing table|phrase. 梳妆台
magazine|n. 杂志
bed|n. 床；底；（花）坛
newspaper|n. 报纸
stereo|n. 立体声；立体声音响；adj. 立体声的
Mrs.|abbr. 太太；夫人；“Mistress”的缩写
kitchen|n. 厨房
refrigerator|n. 冰箱
electric|adj. 电的；用电的
left|v. 离开；“leave”的过去式和过去分词；n. 左；左边；adj. 左边的；adv. 向左；在左边
cooker|n. 炊具；炉子；灶
middle|n. 中间；adj. 中间的
of|prep. 关于；属于
room|n. 房间；空间
where|adv. 在哪里
in|prep. 在…里面；在
living room|phrase. 客厅；起居室
