private|adj. 私人的
conversation|n. 谈话；会话；交谈
theatre|n. 剧场；电影院
seat|n. 座位；v. 使坐下
play|v. 玩；演奏；扮演；播放；n. 戏剧；比赛
loudly|adv. 大声地；高声地
angry|adj. 生气的；愤怒的
angrily|adv. 生气地；愤怒地
attention|n. 注意；关注；照料
bear|n. 熊；v. 负荷；带有；忍受；承受；生（孩子）
business|n. 生意；商业；事务
rudely|adv. 粗鲁地；无礼地
until|prep. 到…时；直到…为止；conj. 到…时；直到…为止
outside|adv. 在外面；n. 外面；外边；外部；prep. 在...外；adj. 外面的；外界的
ring|n. 环；环形物；戒指；铃声；声调；拳击场；v. 成环形；环绕；响铃；鸣；给…打电话
aunt|n. 姑；婶；姨；伯母
repeat|v. 重复；重做；n. 重复；重做
send|v. 发送；送；寄
postcard|n. 明信片
spoil|v. 宠坏；搞糟；变质；n. 赃物；战利品
museum|n. 博物馆
public|adj. 平民的；大众的；公众的；n. 公众；公共场所
friendly|adj. 友好的
waiter|n. 服务员；侍者
lend|v. 借给；借出；贷（款）
decision|n. 决定；抉择；选择
whole|n. 整个；全部；adj. 全部的；整体的
single|adj. 单一的；单独的；单身的；n. 单曲（唱片）；v. 挑选
exciting|adj. 令人激动的；使人兴奋的；v. 使兴奋；使激动； “excite”的现在分词
receive|v. 接收；收到
firm|n. 公司；商行；adj. 坚固的；结实的
different|adj. 不同的
centre|n. 中心；中央；v. 放在…中央
abroad|adv. 在国外；出国
pigeon|n. 鸽子
message|n. 消息；信息；要旨；要点；v. 给…发消息；给…留言
cover|v. 遮盖；包括；报道；n. 封面；遮盖物；庇护所
distance|n. 距离；远处；v. 保持距离
request|n. 请求；要求的事；v. 要求；请求
spare part|n. 备件
service|n. 服务；v. 保养；维修
beggar|n. 乞丐
food|n. 食物
pocket|n. 口袋；衣袋；兜；v. 把…放进衣袋；adj. 袖珍的；小型的
call|n. 打电话；v. 叫；打电话
detective|n. 侦探；adj. 侦探的
airport|n. 机场；航空港
expect|v. 期待；期望；预期
valuable|adj. 有价值的；贵重的；值钱的
parcel|n. 包裹；小包；v. 捆扎；打包
diamond|n. 钻石；菱形；金刚石
steal|v. 偷；窃取
main|adj. 主要的；最重要的
airfield|n. 飞机场
guard|n. 保卫；警卫；v. 守卫；警戒
precious|adj. 珍贵的；宝贵的
stone|n. 石头；石块；v. 用石头打
sand|n. 沙；v. 打磨
competition|n. 竞争；比赛
neat|adj. 整洁的；整齐的；有条理的
path|n. 道路；小路；小径
wooden|adj. 木制的；木头的；生硬笨拙的
pool|n. 水塘；水池；美式撞球；备用物资；v. 合伙经营；共用；汇集
welcome|n. 欢迎；v. 欢迎；int. 欢迎
crowd|n. 人群；群众；v. 拥挤；群集
gather|v. 聚集；集合
hand|n. 手；v. 交；递；给
shout|v. 大叫；喊叫；n. 喊叫声
refuse|v. 拒绝；不接受；n. 废料；垃圾；废物
laugh|v. 笑；发笑；n. 笑；笑声
jazz|n. 爵士乐
musical|adj. 音乐的；擅长音乐的；喜欢音乐的；悦耳的；n. 音乐剧；音乐歌舞片
instrument|n. 仪器；乐器；工具；手段；法律文件
clavichord|n. 古钢琴
recently|adv. 最近；近来
damage|v. 损害；破坏；n. 损害；破损
key|n. 钥匙；关键；adj. 关键的
string|n. 弦；线；一连串
shock|n. 震惊；震动；冲击；电击；休克；浓密的头发；v. 使震惊；使震动；adj. 浓密的
allow|v. 允许；准许；给予；留出；同意；承认
touch|v. 触摸；接触；触动；n. 触摸；触觉；触感
turn|v. 转身；转弯；转动；转变；n. 轮到的机会；拐弯；转变
deserve|v. 值得；应得
lawyer|n. 律师
bank|n. 银行；岸
salary|n. 薪金
immediately|adv. 立即；马上；conj. 即刻
luck|n. 运气；好运；幸运
captain|n. 队长；船长；v. 指挥
sail|v. 航行；驾（船）；n. 帆；航行；航海
harbour|n. 海港；v. 庇护；窝藏
proud|adj. 自豪的；骄傲的
important|adj. 重要的
group|n. 组；集团；群；v. （使）形成组；成群
pop singer|phrase. 流行歌手
club|n. 俱乐部；棍子；v. 用棍棒打
performance|n. 表演；表现；性能；履行；执行
occasion|n. 特殊场合；时机；机会；理由；需要；v. 导致；使发生
amusing|adj. 逗人笑的；有乐趣的；好笑的；v. 逗乐；娱乐；消遣；“amuse”的现在分词
experience|v. 经历；体验；n. 经验；阅历
wave|n. 波；波浪；海浪；挥手；v. 挥手；挥舞；招手；起伏
lift|v. 举起；抬起；提起；解除；n. 电梯；搭便车
reply|v. 答复；回答；n. 答复；回答
language|n. 语言
journey|n. 旅行；旅程
secretary|n. 秘书；大臣
nervous|adj. 担忧的；焦虑的；紧张不安的；神经系统的
afford|v. 买得起；担负得起；有时间做；给予
weak|adj. 虚弱的；无力的
interrupt|v. 打断；打扰；打岔
park|n. 公园；停车场；v. 停放；停车
traffic|n. 交通；流量；非法交易；v. 非法买卖
ticket|n. 票；车票
note|n. 笔记；便条；注释；音调；语气；钞票；v. 注意；备注；记录
area|n. 面积；区域
sign|n. 标志；符号；告示牌；手势；征兆；v. 签名；做标记
reminder|n. 提醒人的事物；通知单；提示信
fail|v. 失败；不及格；无法做到；使失望；衰退；倒闭；n. 失败；不及格
obey|v. 遵守；服从
appear|v. 出现；似乎；显得
stage|n. 阶段；时期；舞台；v. 举行；上演
bright|adj. 明亮的；鲜艳的；聪明的
stocking|n. 长袜
sock|n. 短袜
pub|n. 酒吧；酒馆
landlord|n. 地主；房东
bill|n. 账单；钞票；议案；v. 给…开账单
hurry|n. 匆忙；仓促；v. 抓紧；赶快；匆忙地做
ticket office|phrase. 票房；售票处
pity|v. 怜悯；同情；n. 怜悯；同情；憾事
exclaim|v. 呼喊；大叫
return|v. 返回；归还；n. 返回；归还
sadly|adv. 伤心地；难过地
catch|v. 捕捉；接住；抓住；赶上；得病；理解；n. 捕捉；搭扣；钩；抛接球游戏
fisherman|n. 渔夫
boot|n. 靴子；长筒靴
waste|n. 垃圾；废物；浪费；v. 浪费；白费；糟蹋；adj. 荒芜的；废弃的；丢弃的
realize|v. 实现；认识到；意识到；变卖
mad|adj. 发疯的；疯狂的；生气的
reason|n. 原因；理由；理性；v. 推理；推断；讲道理；思考
sum|n. 总数；算术；金额；v. 概括
determined|adj.  坚决的；坚定的；有决心的；v. 决心；决定；“determine”的过去式和过去分词
dream|n. 梦；梦想；v. 梦想；做梦
age|n. 年龄；时代；v. 变老
channel|n. 河床；海峡；（水）槽；渠道；频道；途径；v. 引导；开导；形成河道
throw|v. 扔；抛；丢；投；n. 扔；抛；摔；投
complete|adj. 完整的；完成的；v. 完成；使完整
modern|adj. 现代的；时髦的
strange|adj. 奇怪的；陌生的
district|n. 地区；区域；行政区
manager|n. 经理；管理者
upset|v. 推翻；打乱；使心烦；adj. 沮丧的；难过的；不安的
sympathetic|adj. 同情的
complain|v. 抱怨；投诉
wicked|adj. 邪恶的；缺德的；淘气的
contain|v. 包含；容纳；克制；遏制
honesty|n. 诚实；正直；老实
railway|n. 铁路
porter|n. 行李搬运工；守门人；（列车卧车的）服务生
several|pron. 几个；一些；adj. 不同的；各自的
foreigner|n. 外国人；外来人
wonder|n. 惊奇；奇迹；v. 惊讶；想知道；怀疑
art|n. 艺术
critic|n. 评论家；批评者
paint|v. 刷油漆；画；绘；n. 油漆；绘画颜料
pretend|v. 假装；佯装；自称
pattern|n. 模式；图案；样式；v. 形成图案；仿造
curtain|n. 帷幕；窗帘
material|n. 材料；原料；adj. 物质的
appreciate|v. 欣赏；理解；感激；增值
notice|n. 注意；通知；v. 注意；留心；通知
whether|conj. 是否；不管；无论
hang|v. 悬挂；吊；绞死；n. 悬挂；绞刑
critically|adv. 批评地；危急地；严重地
upside down|phrase. 颠倒；乱七八糟
tent|n. 帐篷；帐棚
field|n. 田地；领域；场地；运动场；v. 处理，应付（问题、电话等）
smell|n. 闻；气味；嗅觉；v. 嗅；闻；散发气味；察觉
wonderful|adj. 精彩的；极好的
campfire|n. 营火；篝火
creep|v. 爬行；匍匐；蹑手蹑脚地走；汗毛直竖；n. 讨厌鬼；马屁精
sleeping bag|phrase. 睡袋
comfortable|adj. 舒服的；安逸的
soundly|adv. 酣（睡）；明智地；可靠地；完全地
leap|v. 跳跃；n. 跳跃
heavily|adv. 沉重地；猛烈地
stream|n. 流；溪；v. 流；流动
form|n. 形式；表格；形状；v. 组成；建立
wind|n. 风；v. 蜿蜒；缠绕
right|adj. 右边的；正确的；n. 权利；右边；adv. 正确地；直接地；向右；v. 扶直；纠正
rare|adj. 稀少的；珍奇的
ancient|adj. 古代的；古老的；n. 古人
myth|n. 神话；虚构故事；错误观念；荒诞说法
trouble|n. 麻烦；问题；困难；v. 使烦恼；苦恼；费神
effect|n. 影响；作用；效果；效应；v. 引起；实现；使生效
Medusa|n. 美杜莎（古希腊神话中3位蛇发女怪之一）
Gorgon|n. 戈耳工（古希腊神话中三个蛇发女怪之一）
taxi|n. 出租车；计程车；v. 乘坐出租汽车
Pilatus Porter|n. 皮勒特斯·波特（飞机机名）
land|n. 土地；陆地；v. 降落；着陆
plough|n. 犁；耕地；v. 犁（田）；耕（地）；翻（土）
