puma|n. 美洲狮
spot|n. 斑点；圆点；地点；场所；v. 识别；发现；弄脏
evidence|n. 证据；证明
accumulate|v. 积累
oblige|v. 迫使；效劳
hunt|v. 打猎；搜寻
blackberry|n. 黑莓（浆果）
human being|phrase. 人类
corner|n. 角；（街道等的）拐角；困境；v. 拐弯；迫至一隅；使陷入绝境
trail|v. 跟踪；尾随；拖；落后于；n. 小径；路径；踪迹
print|v. 打印；印刷；n. 打印；印刷
cling|v. 紧贴；坚守
convince|v. 说服；使确信
somehow|adv. 不知何故；以某种方式
disturb|v. 打扰；妨碍
equal|adj. 相等的；同等的；v. 等于；比得上；n. 同等的人；相等物
vicar|n. 教区牧师
raise|v. 提起；增加；养育；筹募；引起；n. 加薪
torchlight|n. 手电筒光；火炬的光亮
goddess|n. 女神
archaeologist|n. 考古学家
Aegean|adj. 爱琴海的；n. 爱琴海
explore|v. 探索；勘探
promontory|n. 岬；海角
prosperous|adj. 繁荣的；兴旺的
civilization|n. 文明；文化
storey|n. 楼层
drainage|n. 排水；排水系统；放水
worship|n. 崇拜；崇敬；礼拜；v. 崇拜；尊崇；做礼拜
sacred|adj. 宗教的；神圣的；庄严的
fragment|n. 碎片；断片；片段；v. （使）成碎片；（使）分裂
remains|n. 遗迹；残余；遗体；v. 剩下；留下；依然不变；“remain”的第三人称单数
classical|adj. 古典的
reconstruct|v. 重建；重现
rest|v. （使）休息；（使）倚靠；停留在；中止；n. 休息；其他；剩余部分；宁静
hip|n. 臀部；髋部；adj. 赶时髦的
full-length|adj. 全身的；拖地的；标准长度的
graceful|adj. 优雅的；优美的；得体的
identity|n. 身份；特性；一致
manual|n. 说明书；指南；adj. 手工的；体力的
collar|n. 衣领；领子；v. 抓住；给....上领子
sacrifice|v. 牺牲；献出；供奉；n. 供奉；祭品；牺牲（品）
privilege|n. 特权；荣幸；v. 给予特权；特殊对待
dustman|n. 清洁工
corporation|n. 公司；企业
overalls|n. 工作服；n. （工作时穿的）罩衣；“overall”的复数
shower|n. 淋浴；阵雨；一阵
secret|n. 秘密；adj. 秘密的
status|n. 地位；身份；状态；职称；重要性
editor|n. 编辑（者）；剪辑员
extreme|adj. 极度的；非常的；末端的；n. 极端；极端的事物
statistics|n. 统计学；统计数字
journalist|n. 新闻记者
president|n. 总统；总裁；主持人；校长；行长
palace|n. 宫殿；王宫
publish|v. 发布；出版
fax|n. 传真；v. 发传真
impatient|adj. 不耐烦的；焦急的
fire|n. 火；炮火；热情；激情；v. 射击；开火；解雇；激发
originally|adv. 原来；起初
smash-and-grab|n. 砸橱窗抢劫
arcade|n. 拱廊；有拱廊的街道；游乐中心
Piccadilly|n. 皮卡迪利大街
jewellery|n. 珠宝；首饰
necklace|n. 项链
ring|n. 环；环形物；戒指；铃声；声调；拳击场；v. 成环形；环绕；响铃；鸣；给…打电话
background|n. 背景；经历
velvet|n. 天鹅绒；丝绒；adj. 天鹅绒的
headlight|n. （汽车等）前灯
blare|v. 发出（响亮而刺耳的声音）；n. 响亮刺耳的声音
staff|n. 职员；全体职工；棍棒；拐杖；v. 为…配备职员
raid|n. 袭击；突击；劫掠；v. 突袭；搜捕；劫掠
scramble|v. 攀登；爬；混杂；争抢；n. 攀登；爬；争夺；混乱
fantastic|adj. 奇异的；极好的；奇妙的
ashtray|n. 烟灰缸
mutilate|v. 使残废；使残缺不全；毁伤
chew|v. 咀嚼
fiancé|n. 未婚夫
microwave|n. 微波；微波炉；v. 用微波炉加热
oven|n. 烤箱；烤炉
safekeeping|n. 妥善保管
Newcastle|n. 纽卡斯尔
identify|v. 鉴定；识别；确认
spokeswoman|n. 女发言人
monastery|n. 修道院
St. Bernard|n. 圣伯纳德
pass|v. 路过；(时间)流逝；超过；传递；通过；n. (考试)及格；通行证
watchdog|n. 看门狗；监督者
rashly|adv. 轻率地；冒失地；仓促地
enclosure|n. 围场；围地；圈占地；随信附件
monk|n. 僧侣；修道士
privacy|n. 隐私；私密；隐私权
skier|n. 滑雪者
Easter|n. 复活节
fascinate|v. 强烈吸引住；使着迷
affectionate|adj. 挚爱的；有深厚感情的；充满深情的
mysterious|adj. 神秘的
submissive|adj. 顺从的；服从的；恭顺的
feline|adj. 猫（科）的；n. 猫科动物
independence|n. 独立；自主
high-rise|adj. 高层的（建筑）；n. 高楼；大厦；多层建筑物
windowsill|n. 窗沿；窗台
paratrooper|n. 伞兵；空降兵
squirrel|n. 松鼠；v. 贮藏
air-resistance|n. 空气阻力
impact|n. 冲击（力）；影响力；v. 冲击；撞击；对…产生影响
Southampton|n. 南安普敦
colossal|adj. 巨大的；庞大的
watertight|adj. 不透水的；无懈可击的
compartment|n. 分隔间；车厢
flood|n. 洪水；水灾；v. 淹没；泛滥
float|v. 浮动；漂浮
tragic|adj. 悲剧的；悲惨的；不幸的
liner|n. 邮轮；客轮；衬里
voyage|n. 航行；航海；v. 航行；远航
iceberg|n. 冰山
lookout|n. 前途；远景；看守；瞭望台
collision|n. 碰撞；冲突
narrowly|adv. 狭窄地；勉强地
miss|v. 想念；错过；漏掉；n. 错过；女士；小姐
slight|adj. 轻微的；微小的；细瘦的；n. 轻慢；v. 轻视
tremble|v. 发抖；打颤；战栗；焦虑；n. 震颤；发抖；战栗；焦虑
faint|adj. 微弱的；缺少热情的；虚弱的；v. 昏厥
horror|n. 恐惧
abandon|v. 抛弃；放弃；中止
plunge|v. 投入；跳入；n. 跳进；骤降
lifeboat|n. 救生艇
guilty|adj. 有罪的；内疚的
tolerant|adj. 宽容的；容忍的
declare|v. 宣布；宣告；断言；申报纳税
hardened|adj. 变硬的；硬心肠的；冷酷无情的；v. 使坚强；使坚硬；“harden”的过去式和过去分词
professional|adj. 专业的；职业的；n. 专业人士
smuggler|n. 走私者
officious|adj. 爱发号施令的；多管闲事的
confidently|adv. 满怀信心地
dreadful|adj. 可怕的；恐惧的；令人不快的
pounce|v. 猛扑；突袭；抓住；n. 猛扑
perfume|n. 香水；香味；v. 给…添加香味
sarcastically|adv. 讽刺地；挖苦地
exempt|adj. 被免除的；被豁免的；v. 豁免；免除
duty|n. 责任；职责；义务
gel|n. 凝胶体；定型发胶；v. 形成胶体；联手共事
