fossil man|phrase. 化石人
recount|v. 细述；叙述；n. 叙述；重新计票
saga|n. 英雄故事
legend|n. 传说；传奇
migration|n. 迁移；迁徙；转移
anthropologist|n. 人类学家
ancestor|n. 祖先；祖宗
Polynesian|adj. 波利尼西亚（人）的；n. 波利尼西亚人
Indonesia|n. 印度尼西亚
archaeologist|n. 考古学家
flint|n. 燧石；打火石
rot|n. 腐烂；腐败；v. （使）腐烂
beast|n. 兽；凶残的人
census|n. 人口普查
acre|n. 英亩
content|n. 内容；含量；目录；adj. 满足的；v. 使满意
Matterhorn|n. 马特霍恩峰（阿尔卑斯山峰之一）
alpinist|n. 登山运动员
pioneer|n. 拓荒者；先驱者；创始者；倡导者；v. 开拓；做先锋；倡导
summit|n. 顶峰；顶点；顶尖；最高级会谈；首脑会议；adj. 最高级的；政府首脑的
attain|v. 达到；获得
perilous|adj. 危险的；艰险的
shudder|v. 战栗；发抖；n. 战栗；震颤
court|n. 法院；球场；宫廷；v. 求爱；献殷勤；招致
solitary|adj. 独自的；单独的；孤寂的
impoverish|v. 使贫困；使贫瘠
Alpine|adj. 阿尔卑斯山的
flea-ridden|adj. 布满跳蚤的
coarse|adj. 粗糙的；粗鲁的
boast|v. 自夸；夸耀；自豪地拥有
parishioner|n. 教区居民
shepherd|n. 牧羊人；牧师；指导者；v. 照看；引领
linen|n. 亚麻布；亚麻织品；adj. 亚麻布制的；亚麻色的
the Alps|n. 阿尔卑斯山脉
solid|n. 固体；立体图形；adj. 固体的；坚固的；可靠的
safe|adj. 安全的
Ulyanovsk|n. 乌里扬诺夫斯克（伏尔加河中游城市）
commission|n. 委员会；佣金；v. 委托；委任
opaque|adj. 不透明的；难懂的；晦涩的
lotto|n. 落托数卡牌戏；乐透（一种赌博游戏）
slipper|n. 拖鞋
blindfold|adj. 眼睛被蒙住的；adv. 眼睛被蒙住地；v. 蒙住 ... 的眼睛；n. 蒙眼物；盲目
leave|v. 离开；离去；留下；n. 休假
fundamentals|n. 基本原则；基本原理；“fundamental”的复数
glorious|adj. 光荣的；辉煌的
splendid|adj. 壮观的；辉煌的；极好的
rub|v. 擦；摩擦；n. 擦；摩擦；阻碍
identity|n. 身份；特性；一致
dreary|adj. 沉闷乏味的；忧郁的；凄凉的
commitment|n. 承诺；奉献
mean|v. 意思是；打算；导致；有意；对…严肃认真；adj. 低劣的；吝啬的；平均的；n. 平均数；中庸；居中
social climber|phrase. 追求更高社会地位的人；向上爬的人
devotion|n. 献身；热爱；奉献
cosmic|adj. 宇宙的；极广阔的
suburban|adj. 市郊的；郊区的；见识不广的
conceited|adj. 自负的；骄傲自大的
presumptuous|adj. 放肆的；冒昧的；自以为是的
fatuous|adj. 愚昧的；昏庸的；愚笨的
cliché|n. 陈词滥调
goodwill|n. 善意；友好；商誉
cricket|n. 板球；蟋蟀
inclination|n. 倾斜；倾向；意向
contest|n. 比赛；竞赛；v. 竞争；争夺；争辩；辩驳
orgy|n. 狂欢；放荡；纵欲
deduce|v. 推断；演绎；推论
competitive|adj. 竞争的；有竞争力的
patriotism|n. 爱国主义；爱国精神
disgrace|n. 耻辱；丢脸；不光彩；v. 使丢脸；使蒙受耻辱
savage|adj. 野性的；凶猛的；荒野的；n. 野蛮人；粗人；凶恶的人；v. 凶狠地攻击；激烈抨击
combative|adj. 好斗的
mimic warfare|phrase. 模拟战争
behaviour|n. 行为；举止；表现
absurd|adj. 荒唐的；荒唐可笑的；n. 荒诞的事物
bat|n. 蝙蝠；球拍；球棒；v. 击（球）
strictly|adv. 严格地；仅限于；完全地
utilitarian|adj. 实用的；功利的；n. 功利主义者
appreciation|n. 欣赏；感激；理解
obstruction|n. 障碍；妨碍；闭塞；违例阻挡
elapse|v. 逝去；过去；n. （光阴）逝去
hull|n. 外壳；皮；船身；船体；v. 去壳
interval|n. 间隔；中场休息
receipt|n. 收据；收条
apparatus|n. 装置；仪器；器械；器官
shoal|adj. 浅的；n. 浅水处；鱼群；一大群；v. （使）变浅
herring|n. 青鱼；鲱鱼
cod|n. 鳕鱼；鳕鱼肉
squeak|n. 吱吱声；尖叫声；v. 短促而尖厉地叫；吱吱叫
slaughter|v. 屠宰；屠杀；n. 屠宰；屠杀
fit|adj. 健康的；适合的；v. 符合；合身
grace|n. 优雅；恩宠
tariff|n. 关税；税率；（旅馆、饭店等的）价目表
